,Date,SP Trailing 4 Weeks Return,Forward Return,SP Trailing 1 Week Return,MoMGrowthChange,unemp_rate,T10Y2Y,mom2diff,maxtight,ShillerOver,CPIDev,CPIOver,detrendedyield,Drawdown% 252,Drawdown% 132,Drawdown% 66,Drawdown% 7,Drawdown% 2,RollingConsConf,RollingExpInfl,RollingHousing,Anomaly,Preds
973,2001-07-20,0.002012290789056,-0.0325721123190052,0.0283533071350672,0.0527301104841482,4.5,1.17,0.0360300587594828,0.6343696946265546,9.681161097115655,0.0372120496160659,0.0372120496160659,-3.140686794760356,-27.454514105948974,-19.68945748541177,-10.104119100267113,-1.0882881971022562,-0.3432078384125133,-0.0534317419423391,0.0189123601228485,0.0044161791287045,0.0206307476505416,-0.06856685
974,2001-07-27,-0.0113662151481711,-0.0220679591786945,-0.0094775272970556,0.0527301104841482,4.5,1.26,0.0360300587594828,0.6343696946265546,9.67305617089196,0.0372120496160659,0.0372120496160659,-3.044275036684404,-27.454514105948974,-19.68945748541177,-10.753862751951402,-3.5694881088395127,0.0,-0.0534317419423391,0.0189123601228485,0.0044161791287045,0.0216925468850139,-0.052136082
975,2001-08-03,-0.0110980207491355,-0.0714069579728139,0.0419066910449581,0.0527301104841482,4.5,1.29,0.0303857113772068,0.6343696946265546,7.994951244668272,0.0372120496160659,0.0372120496160659,-2.952439227890657,-27.454514105948974,-19.67425400387825,-10.753862751951402,-0.5242698680370673,-0.5242698680370673,-0.0806611941584703,0.0080557646110806,0.0301873653152511,0.0230148583171986,-0.09416984
976,2001-08-10,0.0027538170889951,-0.0825919052160193,-0.0229518152671995,0.0527301104841482,4.5,1.26,0.0303857113772068,0.6343696946265546,7.986846318444581,0.0372120496160659,0.0372120496160659,-2.830757669117503,-27.454514105948974,-17.20636865631143,-10.753862751951402,-3.0571326061079254,0.0,-0.0806611941584703,0.0080557646110806,0.0301873653152511,0.0193285268195126,-0.08939409
977,2001-08-17,-0.0215696877564796,-0.1272013933426881,-0.0188807620171195,0.0543421450713703,4.5,1.17,0.0376942309371433,0.6343696946265546,7.97874139222089,0.0356308411214953,0.0356308411214953,-2.743839204061352,-27.454514105948974,-16.836899150308316,-11.49120528944407,-2.4612031829334176,-1.666305274531131,-0.0806611941584703,0.0080557646110806,0.0301873653152511,0.0168218170256524,-0.10510899
978,2001-08-24,-0.0238557439768741,-0.1364234554187068,-0.0207629494948,0.0543421450713703,4.5,1.17,0.0419780217171528,0.6343696946265546,7.970636465997199,0.0356308411214953,0.0356308411214953,-2.73416449933341,-26.572868544676464,-12.52256803372441,-9.840518383015509,-2.0591953371126888,0.0,-0.0806611941584703,0.0080557646110806,0.0301873653152511,0.0154465368776687,-0.113973334
979,2001-08-31,-0.0714679468188563,-0.123534722091302,-0.0243938097147824,0.0543421450713703,4.5,1.21,0.0419780217171528,0.6343696946265546,7.962531539773508,0.0356308411214953,0.0356308411214953,-2.731319442303977,-25.499874827790325,-14.00028434072052,-12.03985162156366,-4.717580100107686,0.0,-0.0806611941584703,0.0080557646110806,0.0301873653152511,0.0237053259035426,-0.0794052
980,2001-09-07,-0.0813683145246338,-0.0627569447293627,-0.061744675617862,0.0543421450713703,4.9,1.27,0.0263409205798765,0.6343696946265546,7.954426613549817,0.0356308411214953,0.0356308411214953,-2.788780545058877,-25.544301873247576,-17.29469423748847,-14.16486981199226,-4.216723002422819,-1.8637016144416323,-0.0806611941584703,0.0080557646110806,0.0301873653152511,0.0217964637795489,-0.050893523
981,2001-09-14,-0.0825919052160193,-0.0023432171840092,-0.0651995934878179,-0.00452134461128,4.9,1.7,0.0337667207816654,0.6343696946265546,7.946321687326126,0.0356308411214953,0.0356308411214953,-2.8793656378070764,-25.544301873247576,-17.29469423748847,-12.22757590613304,-1.8637016144416323,0.0,-0.0806611941584703,0.0080557646110806,0.0301873653152511,0.0309116482407616,-0.05147449
982,2001-09-21,-0.1642417261982481,0.1284945518633578,-0.1300652212320845,-0.00452134461128,4.9,1.79,0.0376829320986829,0.6343696946265546,7.938216761102439,0.0356308411214953,0.0356308411214953,-3.0420722062598884,-32.75684629091639,-26.433733223502315,-21.90633201759711,-11.600494877815729,-1.9034260317110796,-0.0806611941584703,0.0080557646110806,0.0301873653152511,0.1134358618374199,0.050891034
983,2001-09-28,-0.1258893048766944,0.0358907425258405,-0.0136820545504448,-0.00452134461128,4.9,1.74,0.0376829320986829,0.6343696946265546,7.930111834878744,0.0356308411214953,0.0356308411214953,-3.212974456163653,-32.56481142126572,-26.433733223502315,-21.90633201759711,-1.8002950495931929,0.0,-0.0806611941584703,0.0080557646110806,0.0301873653152511,0.0680559351877426,0.041198935
984,2001-10-05,-0.0687208763010409,0.0293639612407554,0.0566647082743043,-0.00452134461128,4.9,1.81,0.0240589012136709,0.6343696946265546,5.102006908655056,0.0356308411214953,0.0356308411214953,-3.4549736727409304,-32.56481142126572,-26.433733223502315,-20.88470302740375,-0.2471392119277086,0.0,-0.1092076504074472,-0.0093384152830992,0.0418745478186816,0.0607357475774777,0.027914274
985,2001-10-12,-0.0081073486127906,0.0244400046204782,0.0438493142811695,0.1246687438726046,4.9,1.87,0.0415958067813928,0.6343696946265546,5.093901982431362,0.0356308411214953,0.0356308411214953,-3.708515070134254,-32.56481142126572,-26.433733223502315,-20.88470302740375,-1.3331150202549524,-0.5266877171196422,-0.1092076504074472,-0.0093384152830992,0.0418745478186816,0.0560369306471871,0.026586931
986,2001-10-19,0.0516779953029182,0.07226970184495,0.0112230757999172,0.1246687438726046,4.9,1.86,0.0465184915207679,0.6343696946265546,5.085797056207674,0.0356308411214953,0.0356308411214953,-3.9722327774235815,-32.56481142126572,-26.433733223502315,-20.88470302740375,-2.6358996192657407,0.0,-0.1092076504074472,-0.0093384152830992,0.0418745478186816,0.0642331784562032,0.032252185
987,2001-10-26,0.0923994973618038,0.0521139905882612,0.0023233109199281,0.1246687438726046,4.9,1.9,0.0465184915207679,0.6343696946265546,5.07769212998398,0.0356308411214953,0.0356308411214953,-4.227071786385739,-31.02118518943461,-26.433733223502315,-20.88470302740375,-0.4635115728704885,0.0,-0.1092076504074472,-0.0093384152830992,0.0418745478186816,0.0770316104407145,0.027270336
