Date,T10Y2Y,Close,TenYield,CPIUS,m2,unemp_rate,Trade Balance,Shiller_PE,Inverted12months,SP Daily Return,Cumulative Returns,Trade Balance MoM,Trade Balance YoY,Trade Balance Rolling 12,Real_Yield,CPI YoY
2000-03-15,-0.21,1392.14001464844,6.27600002288818,171.1,4718,4.1,-30176,43.22,1,0.0242725156471209,-0.052482549158796,0,0,0.0239817379706576,-0.21,
2000-03-16,-0.24,1458.46997070313,6.23799991607666,171.1,4718,4.1,-30176,43.22,1,0.0476460380110819,-0.00733709667985261,0,0,0.0213171004183623,-0.24,
2000-03-17,-0.3,1464.46997070313,6.18800020217896,171.1,4718,4.1,-30176,43.22,1,0.00411390026570624,-0.00325338049812718,0,0,0.018652462866067,-0.3,
2000-03-18,-0.3,1464.46997070313,6.18800020217896,171.1,4718,4.1,-30176,43.22,1,0,-0.00325338049812718,0,0,0.0159878253137717,-0.3,
2000-03-19,-0.3,1464.46997070313,6.18800020217896,171.1,4718,4.1,-30176,43.22,1,0,-0.00325338049812718,0,0,0.0133231877614765,-0.3,
2000-03-20,-0.34,1456.63000488281,6.1710000038147,171.1,4718,4.1,-30176,43.22,1,-0.00535344935516047,-0.00858941304555783,0,0,0.0106585502091812,-0.34,
2000-03-21,-0.37,1493.86999511719,6.13700008392334,171.1,4718,4.1,-30176,43.22,1,0.0255658541356019,0.0167568454090108,0,0,0.00799391265688587,-0.37,
2000-03-22,-0.37,1500.64001464844,6.11999988555908,171.1,4718,4.1,-30176,43.22,1,0.00453186659707883,0.0213646517940711,0,0,0.00532927510459058,-0.37,
2000-03-23,-0.44,1527.34997558594,6.07000017166138,171.1,4718,4.1,-30176,43.22,1,0.0177990461914728,0.0395439684096912,0,0,0.00266463755229529,-0.44,
2000-03-24,-0.44,1527.4599609375,6.17399978637695,171.1,4718,4.1,-30176,43.22,1,7.20105760438905E-05,0.0396188265696793,0,0,0,-0.44,
2000-03-25,-0.44,1527.4599609375,6.17399978637695,171.1,4718,4.1,-30176,43.22,1,0,0.0396188265696793,0,0,0,-0.44,
2000-03-26,-0.44,1527.4599609375,6.17399978637695,171.1,4718,4.1,-30176,43.22,1,0,0.0396188265696793,0,0,0,-0.44,
2000-03-27,-0.45,1523.85998535156,6.19500017166138,171.1,4718,4.1,-30176,43.22,1,-0.00235683793880137,0.0371686134773277,0,0,0,-0.45,
2000-03-28,-0.43,1507.72998046875,6.17000007629395,171.1,4718,4.1,-30176,43.22,1,-0.0105849651791278,0.026190219818786,0,0,0,-0.43,
2000-03-29,-0.41,1508.52001953125,6.14900016784668,171.1,4718,4.1,-30176,43.22,1,0.00052399240761547,0.0267279357027403,0,0,0,-0.41,
2000-03-30,-0.46,1487.92004394531,6.06500005722046,171.1,4718,4.1,-30176,43.22,1,-0.0136557522069469,0.0127071934288336,0,0,0,-0.46,
2000-03-31,-0.47,1498.57995605469,6.02299976348877,171.1,4718,4.1,-30176,43.22,1,0.00716430439441451,0.0199625360249711,0,0,0,-0.47,
2000-04-01,-0.47,1498.57995605469,6.02299976348877,171.2,4759.3,3.9,-30438,43.53,1,0,0.0199625360249711,-0.00868239660657476,-0.00868239660657476,0.000723533050547898,-0.528445353594383,
2000-04-02,-0.47,1498.57995605469,6.02299976348877,171.2,4759.3,3.9,-30438,43.53,1,0,0.0199625360249711,0,-0.00868239660657476,0.0014470661010958,-0.528445353594383,
2000-04-03,-0.45,1505.96997070313,5.98600006103516,171.2,4759.3,3.9,-30438,43.53,1,0.00493134491661906,0.0249923230921398,0,-0.00868239660657476,0.00217059915164369,-0.508445353594383,
2000-04-04,-0.45,1494.72998046875,5.84100008010864,171.2,4759.3,3.9,-30438,43.53,1,-0.0074636217541092,0.0173421680917145,0,-0.00868239660657476,0.00289413220219159,-0.508445353594383,
2000-04-05,-0.45,1487.36999511719,5.88199996948242,171.2,4759.3,3.9,-30438,43.53,1,-0.00492395646553789,0.012332819545475,0,-0.00868239660657476,0.00361766525273949,-0.508445353594383,
2000-04-06,-0.45,1501.33996582031,5.91499996185303,171.2,4759.3,3.9,-30438,43.53,1,0.0093923978223216,0.0218410521152386,0,-0.00868239660657476,0.00434119830328739,-0.508445353594383,
2000-04-07,-0.52,1516.34997558594,5.84899997711182,171.2,4759.3,3.9,-30438,43.53,1,0.00999774208863058,0.0320571554098617,0,-0.00868239660657476,0.00506473135383528,-0.578445353594383,
2000-04-08,-0.52,1516.34997558594,5.84899997711182,171.2,4759.3,3.9,-30438,43.53,1,0,0.0320571554098617,0,-0.00868239660657476,0.00578826440438318,-0.578445353594383,
2000-04-09,-0.52,1516.34997558594,5.84899997711182,171.2,4759.3,3.9,-30438,43.53,1,0,0.0320571554098617,0,-0.00868239660657476,0.00651179745493108,-0.578445353594383,
2000-04-10,-0.51,1504.4599609375,5.79199981689453,171.2,4759.3,3.9,-30438,43.53,1,-0.00784120739926353,0.0239645812063989,0,-0.00868239660657476,0.00723533050547898,-0.568445353594383,
2000-04-11,-0.47,1500.58996582031,5.8769998550415,171.2,4759.3,3.9,-30438,43.53,1,-0.0025723483626483,0.0213305875925227,0,-0.00868239660657476,0.00795886355602687,-0.528445353594383,
2000-04-12,-0.43,1467.17004394531,5.96799993515015,171.2,4759.3,3.9,-30438,43.53,1,-0.0222711884233683,-0.00141565836629975,0,-0.00868239660657476,0.00868239660657477,-0.488445353594383,
2000-04-13,-0.46,1440.51000976563,5.91400003433228,171.2,4759.3,3.9,-30438,43.53,1,-0.0181710595099099,-0.01956099386379,0,0,0.00795886355602687,-0.46,
2000-04-14,-0.42,1356.56005859375,5.88500022888184,171.2,4759.3,3.9,-30438,43.53,1,-0.0582779367048855,-0.0766989562063968,0,0,0.00723533050547898,-0.42,
2000-04-15,-0.42,1356.56005859375,5.88500022888184,171.2,4759.3,3.9,-30438,43.53,1,0,-0.0766989562063968,0,0,0.00651179745493108,-0.42,
2000-04-16,-0.42,1356.56005859375,5.88500022888184,171.2,4759.3,3.9,-30438,43.53,1,0,-0.0766989562063968,0,0,0.00578826440438318,-0.42,
